LTE/5g Category,Time,Packet Loss Rate,Packet delay,IoT,LTE/5G,GBR,Non-GBR,AR/VR/Gaming,Healthcare,Industry 4.0,IoT Devices,Public Safety,Smart City & Home,Smart Transportation,Smartphone,slice Type,LOS
20,15,0.00024935707650561637,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4,11,0.0009308678494144077,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
12,13,0.00032484426905034626,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
4,19,0.0007625149282040127,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
14,6,0.000882923312638332,150,0,1,0,1,0,0,0,0,0,0,0,1,1,1
6,21,0.0008829315215254098,100,0,1,1,0,1,0,0,0,0,0,0,0,1,1
18,9,0.0017896064077536958,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
17,18,0.00038471736457645444,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
13,16,-0.00023373719296747607,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
10,3,0.010271280021792983,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
4,9,-0.00023070884640623114,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
11,1,-0.00023186487678512844,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
18,12,0.010120981135783018,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
10,3,0.009043359877671102,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
16,11,-0.0008614589162565164,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
8,4,0.0007188562353795137,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
7,1,-0.0005054155601672119,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
19,9,0.001157123666297637,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
14,2,0.0005459879622393946,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
6,5,0.009293848149332354,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
13,22,0.001732824384460777,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
10,11,-0.00011188815024326783,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
18,22,3.476410234396192e-05,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
14,8,-0.0007113740931067284,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
16,14,-0.0002711913622625913,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
7,1,0.010055461294854934,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
20,23,-0.0005744967887111514,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
15,16,0.000188849009172836,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
20,10,-0.00029931934495940244,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
11,11,0.009854153125103363,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
19,11,0.009699146693885302,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
5,23,0.0009271390922544689,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
14,19,0.009993251387631033,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
4,4,-0.0005278554644779502,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
10,1,0.00041227245605159453,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
22,21,0.00938957817501449,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
6,10,0.0011044317975023776,150,0,1,0,1,0,0,0,0,0,0,0,1,1,0
11,16,-0.0009788350619398878,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
8,9,-0.0006630930244492152,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
11,21,9.943061793456176e-05,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
6,2,0.010369233289997705,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
3,6,0.010085684140594986,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
4,14,-5.682414119412027e-05,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
3,18,-0.0001495518477946444,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
11,5,0.0002607390048162863,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
5,21,0.0006400778958026457,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
16,10,0.009769680614520106,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
21,15,0.0005295611131094579,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
10,8,0.0011718091447842308,100,0,1,1,0,1,0,0,0,0,0,0,0,1,0
6,1,0.00011847992231863304,150,0,1,0,1,0,0,0,0,0,0,0,1,1,1
17,14,0.010162041984697398,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
12,14,-0.00019154114020815828,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2,12,0.0006615389998470206,100,0,1,1,0,1,0,0,0,0,0,0,0,1,1
8,10,0.000306838144420434,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
4,23,0.0015154997612479755,50,0,1,0,1,1,0,0,0,0,0,0,0,1,0
19,4,0.00046664005955809933,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
1,10,-0.00041860876161131926,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
19,13,-0.0001536061879256073,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
11,10,0.00016663171570178198,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
10,23,0.01048777256356118,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
18,18,0.000760412881077355,100,0,1,1,0,1,0,0,0,0,0,0,0,1,1
6,14,-9.182948833190857e-05,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
9,18,0.009446832512996986,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
11,11,-0.0005971033120403354,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
1,16,0.00040726291119709903,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
11,13,0.0016781200142854114,50,0,1,0,1,1,0,0,0,0,0,0,0,1,0
1,3,-3.500506079016693e-05,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
1,13,0.0005027664489460121,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
14,7,0.0011808180125238172,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
2,10,0.009677440122697438,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
20,9,0.010180697802754208,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
3,4,0.010769018283232984,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
17,5,0.0009820869804450243,50,0,1,0,1,1,0,0,0,0,0,0,0,1,1
9,5,0.0007833218279070032,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
5,19,-0.00030987255204487215,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
1,4,0.001410951252187612,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
7,19,4.452353411908561e-05,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
13,2,0.0008504963247670663,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
11,16,0.010045880388267751,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
12,4,0.009006215542699553,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
10,5,0.0008901640560812441,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2,2,0.0011785562857558733,50,0,1,0,1,1,0,0,0,0,0,0,0,1,0
6,2,0.000739947022370758,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
6,0,0.009740864890863177,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
3,21,-0.0004032468014465938,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
9,12,0.009749121478207732,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
2,1,0.010457701058851037,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
19,3,0.00016537555482984222,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
11,2,0.009735119898116481,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
5,21,0.010256633716556678,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
19,23,4.953877467402019e-05,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
11,9,0.0014843224952664448,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
9,8,0.0006489734530613239,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
6,23,0.0008361689267011159,150,0,1,0,1,0,0,0,0,0,0,0,1,1,1
4,17,-0.00019505407656607881,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
9,5,-0.0007307574740660593,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
17,8,0.001148060138532288,100,0,1,1,0,1,0,0,0,0,0,0,0,1,0
12,19,0.0011305276360899447,50,0,1,0,1,1,0,0,0,0,0,0,0,1,0
9,2,3.5567283212304445e-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
20,2,-0.00011629356668757346,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
22,9,-0.0007066853710252071,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
3,5,-0.00020932266138267954,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
5,6,0.009828642741736615,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
22,19,-0.00040013863461080946,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
18,4,0.009919357144166996,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
14,6,0.0012020254284072693,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
8,18,0.010943092950605266,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
4,12,8.828890641591947e-05,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
13,0,0.0011287751953613823,50,0,1,0,1,1,0,0,0,0,0,0,0,1,0
9,14,-3.622295788308361e-05,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
16,6,4.061439235047927e-05,50,1,0,1,0,0,0,1,0,0,0,0,0,2,1
13,16,0.009986743062275392,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
1,15,3.111510497051322e-05,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
6,14,0.002231621056242643,50,0,1,0,1,1,0,0,0,0,0,0,0,1,0
12,11,0.00990381951760944,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
3,8,0.010150773671166806,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
4,1,-1.6355884852621657e-05,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
9,3,0.009415660981190234,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
15,19,0.0005724114072575103,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
9,23,0.001375966516343387,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
16,6,0.0003965159735215235,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
7,21,-0.00045369372739736946,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
8,11,0.01070139715546805,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
22,20,0.00929907446860386,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
7,12,0.00029442854690013516,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4,19,0.0010962278129049892,100,0,1,1,0,0,0,0,0,0,0,0,1,1,0
2,18,0.009504731837434655,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
16,14,0.000716851135198614,100,0,1,1,0,1,0,0,0,0,0,0,0,1,1
3,12,0.01004982568254382,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
11,2,0.0007482621729419004,150,0,1,0,1,0,0,0,0,0,0,0,1,1,1
5,22,0.009224668284466934,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
22,17,0.010034281487403015,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
6,6,0.009468848143136949,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
3,15,0.0002377962153175908,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
6,19,-0.0004587121171169016,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
9,20,0.0007759672025087698,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
17,8,-0.0003906266461681185,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
13,0,-0.0001600307581028378,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
14,14,0.010406758608684836,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
6,4,0.009384567841783022,300,1,0,1,0,0,0,0,0,0,1,0,0,2,0
10,23,0.0001147299673020647,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
12,16,0.000654571377141214,60,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4,10,-0.0008027416172806137,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
20,12,9.33169292661521e-05,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
10,11,0.0011299413971242117,100,0,1,1,0,1,0,0,0,0,0,0,0,1,0
19,18,0.010390911435888656,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
11,20,-0.000617475355439041,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
13,23,-0.0006592283065421381,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
15,5,0.00026197078280844885,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
5,12,0.001148492336616593,150,0,1,0,1,0,0,0,0,0,0,0,1,1,0
15,18,0.00012624642517293828,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
1,3,0.001173224104748488,50,1,0,1,0,0,0,1,0,0,0,0,0,2,0
13,5,0.009659987639210756,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
20,19,0.0011161268485805017,150,0,1,0,1,0,0,0,0,0,0,0,1,1,0
11,8,0.0011465362366493406,150,0,1,0,1,0,0,0,0,0,0,0,1,1,0
4,14,-0.0003561757090131839,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
14,19,0.0019328872555723783,100,0,1,1,0,1,0,0,0,0,0,0,0,1,0
10,3,0.00023791646045589375,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
1,3,-0.0005946517486013243,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
6,19,0.00032927680431691487,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
20,8,-0.0004863408351136607,10,1,0,0,1,0,1,0,0,0,0,0,0,3,1
16,11,0.00039454230187122605,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
18,23,0.010579297789503702,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0
1,11,-0.0004093411591758552,10,1,0,0,1,0,0,1,0,0,0,0,0,3,1
20,15,0.001481688064622161,150,0,1,0,1,0,0,0,0,0,0,0,1,1,0
6,5,0.00020739046346824916,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
13,8,0.010411030079997245,50,1,0,0,1,0,0,0,0,0,1,0,0,2,0
9,13,0.010948396491326975,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
12,9,-0.00012169405800143524,300,0,1,0,1,0,0,0,0,0,0,0,1,1,1
9,13,-0.0003758680821787448,300,0,1,1,0,0,0,0,0,0,0,0,1,1,1
20,17,0.0005552427851872384,100,0,1,1,0,1,0,0,0,0,0,0,0,1,1
5,14,-0.00040690514248271914,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
13,23,0.009961449145292949,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
20,10,0.00017157598740832195,100,0,1,1,0,0,0,0,0,0,0,0,1,1,1
9,3,0.00013934539966500953,10,1,0,0,1,0,0,0,0,1,0,0,0,3,1
6,18,0.010413591624518012,75,0,1,0,1,0,0,0,0,0,0,0,1,1,0
19,15,0.010006500945938954,300,1,0,1,0,0,0,0,1,0,0,0,0,2,0
3,19,0.0007277670385786584,10,1,0,0,1,0,0,0,0,0,0,1,0,3,1
